method,metric,value
mobj,target valid,1.0
mobj,categorical proximity,3.9026548672566372
mobj,continuous proximity,0.20929684559616119
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.001922652838830721
mobj,target valid,1.0
mobj,categorical proximity,3.8947368421052633
mobj,continuous proximity,0.20964672152376188
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0006297898485189724
mobj,target valid,1.0
mobj,categorical proximity,3.9043478260869566
mobj,continuous proximity,0.209142310587028
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0006330035123868598
mobj,target valid,1.0
mobj,categorical proximity,3.9051724137931036
mobj,continuous proximity,0.20939235008856977
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0009671201528321145
mobj,target valid,1.0
mobj,categorical proximity,3.905982905982906
mobj,continuous proximity,0.20954558738623552
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00278334180129586
mobj,target valid,1.0
mobj,categorical proximity,3.9152542372881354
mobj,continuous proximity,0.2099927763168681
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0030949704324356227
mobj,target valid,1.0
mobj,categorical proximity,3.9159663865546217
mobj,continuous proximity,0.21005862295297517
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,6.918068596216191e-05
mobj,target valid,1.0
mobj,categorical proximity,3.908333333333333
mobj,continuous proximity,0.21232834709664156
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002603394843443234
mobj,target valid,1.0
mobj,categorical proximity,3.909090909090909
mobj,continuous proximity,0.2132265426406689
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0018084681358688905
mobj,target valid,1.0
mobj,categorical proximity,3.901639344262295
mobj,continuous proximity,0.21241624706765128
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,2.2814113196855733e-05
mobj,target valid,1.0
mobj,categorical proximity,3.902439024390244
mobj,continuous proximity,0.2125243596412862
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0008181522129727504
mobj,target valid,1.0
mobj,categorical proximity,3.903225806451613
mobj,continuous proximity,0.2121375129146353
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,6.631608081621955e-05
mobj,target valid,1.0
mobj,categorical proximity,3.912
mobj,continuous proximity,0.21307771510198903
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,1.8203438874488412e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9047619047619047
mobj,continuous proximity,0.2138105298176192
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,1.8333844071267388e-05
mobj,target valid,1.0
mobj,categorical proximity,3.8976377952755907
mobj,continuous proximity,0.2136264544088226
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0022296091057834844
mobj,target valid,1.0
mobj,categorical proximity,3.890625
mobj,continuous proximity,0.21483134416375302
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,3.9451888620703516e-05
mobj,target valid,1.0
mobj,categorical proximity,3.891472868217054
mobj,continuous proximity,0.21491639363499676
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0005488783241395704
mobj,target valid,1.0
mobj,categorical proximity,3.8923076923076922
mobj,continuous proximity,0.21478577309695404
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00060033755130966
mobj,target valid,1.0
mobj,categorical proximity,3.8931297709923665
mobj,continuous proximity,0.214570332981687
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002110977768567497
mobj,target valid,1.0
mobj,categorical proximity,3.9015151515151514
mobj,continuous proximity,0.2133971189659235
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0005558808381382769
mobj,target valid,1.0
mobj,categorical proximity,3.9097744360902253
mobj,continuous proximity,0.21340606787606478
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0006327442742101118
mobj,target valid,1.0
mobj,categorical proximity,3.9029850746268657
mobj,continuous proximity,0.21284494666201362
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0027118999688242763
mobj,target valid,1.0
mobj,categorical proximity,3.8962962962962964
mobj,continuous proximity,0.21333713613938102
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002227465784236168
mobj,target valid,1.0
mobj,categorical proximity,3.8970588235294117
mobj,continuous proximity,0.21313402739551468
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,3.8254795066797714e-05
mobj,target valid,1.0
mobj,categorical proximity,3.897810218978102
mobj,continuous proximity,0.21371713205910725
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002272657635407229
mobj,target valid,1.0
mobj,categorical proximity,3.898550724637681
mobj,continuous proximity,0.21375612227657415
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0014982887672522916
mobj,target valid,1.0
mobj,categorical proximity,3.906474820143885
mobj,continuous proximity,0.2130845816880951
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00048556423562159945
mobj,target valid,1.0
mobj,categorical proximity,3.907142857142857
mobj,continuous proximity,0.2132087769326973
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,3.630081165474738e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9148936170212765
mobj,continuous proximity,0.21384657405226531
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0005172962721327203
mobj,target valid,1.0
mobj,categorical proximity,3.915492957746479
mobj,continuous proximity,0.21466183481602674
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002212806198439599
mobj,target valid,1.0
mobj,categorical proximity,3.909090909090909
mobj,continuous proximity,0.21434874081104893
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002557857673457746
mobj,target valid,1.0
mobj,categorical proximity,3.9027777777777777
mobj,continuous proximity,0.21417299266680362
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0010224104969359447
mobj,target valid,1.0
mobj,categorical proximity,3.889655172413793
mobj,continuous proximity,0.21427415199294916
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0019640027873699044
mobj,target valid,1.0
mobj,categorical proximity,3.8835616438356166
mobj,continuous proximity,0.2136424102493263
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0017323948114123392
mobj,target valid,1.0
mobj,categorical proximity,3.891156462585034
mobj,continuous proximity,0.2135569660725494
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,5.218793729401349e-05
mobj,target valid,1.0
mobj,categorical proximity,3.885135135135135
mobj,continuous proximity,0.2141676433789123
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0014276599424397206
mobj,target valid,1.0
mobj,categorical proximity,3.8859060402684564
mobj,continuous proximity,0.2129358148430111
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0005674280970791866
mobj,target valid,1.0
mobj,categorical proximity,3.8933333333333335
mobj,continuous proximity,0.21234869611287266
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0
mobj,target valid,1.0
mobj,categorical proximity,3.8940397350993377
mobj,continuous proximity,0.21225758789156882
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00044069510120443265
mobj,target valid,1.0
mobj,categorical proximity,3.8947368421052633
mobj,continuous proximity,0.2112006303655909
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0004671655598462439
mobj,target valid,1.0
mobj,categorical proximity,3.895424836601307
mobj,continuous proximity,0.21117591859434495
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,9.269717286741781e-06
mobj,target valid,1.0
mobj,categorical proximity,3.9025974025974026
mobj,continuous proximity,0.21060338788613805
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0004763406590832223
