method,metric,value
mobj,causal validity,0.4027777777777778
mobj,IM1,0.03573817818056567
mobj,IM2,0.0007155396111007238
mobj,target valid,1.0
mobj,continuous proximity,0.09593858528174798
mobj,causal validity,0.410958904109589
mobj,IM1,0.03687119351901529
mobj,IM2,0.0006568837013252633
mobj,target valid,1.0
mobj,continuous proximity,0.09610285898036383
mobj,causal validity,0.4189189189189189
mobj,IM1,0.04759096276235688
mobj,IM2,0.000747726056754432
mobj,target valid,1.0
mobj,continuous proximity,0.09624184135857536
mobj,causal validity,0.41333333333333333
mobj,IM1,0.03429506052785345
mobj,IM2,0.0011985859909809313
mobj,target valid,1.0
mobj,continuous proximity,0.09583400124533423
mobj,causal validity,0.42105263157894735
mobj,IM1,0.02119583107385378
mobj,IM2,0.0003465268883876907
mobj,target valid,1.0
mobj,continuous proximity,0.09598511405528123
mobj,causal validity,0.42857142857142855
mobj,IM1,0.029898856442366412
mobj,IM2,0.0006734558558103021
mobj,target valid,1.0
mobj,continuous proximity,0.0959519790295785
mobj,causal validity,0.4230769230769231
mobj,IM1,0.04603851499390705
mobj,IM2,0.000766565814251224
mobj,target valid,1.0
mobj,continuous proximity,0.09602043011812784
mobj,causal validity,0.4177215189873418
mobj,IM1,0.026411574543011906
mobj,IM2,0.0007498371560828445
mobj,target valid,1.0
mobj,continuous proximity,0.0963402723536204
mobj,causal validity,0.4125
mobj,IM1,0.028265260474660492
mobj,IM2,0.0006538434875939284
mobj,target valid,1.0
mobj,continuous proximity,0.09629230348678999
mobj,causal validity,0.4074074074074074
mobj,IM1,0.03359528897332553
mobj,IM2,0.0008455670509208507
mobj,target valid,1.0
mobj,continuous proximity,0.09635460909295286
mobj,causal validity,0.4024390243902439
mobj,IM1,0.030433701218736894
mobj,IM2,0.0006195558838208154
mobj,target valid,1.0
mobj,continuous proximity,0.09627932289967157
mobj,causal validity,0.40963855421686746
mobj,IM1,0.03444153511808006
mobj,IM2,0.0006993385235675747
mobj,target valid,1.0
mobj,continuous proximity,0.09591747130778197
mobj,causal validity,0.4166666666666667
mobj,IM1,0.024012440664258346
mobj,IM2,0.00041387013977004704
mobj,target valid,1.0
mobj,continuous proximity,0.09616888807865855
mobj,causal validity,0.4117647058823529
